<Sykepleierdiagnoser>
ID|Term_EN|Term_NO
704402002|Deficient knowledge of physical therapy (finding)|mangelfull kunnskap om fysioterapi
416909000|Impaired psychomotor performance (finding)|nedsett psykomotorisk funksjon
32000005|Difficulty using verbal communication (finding)|vansker med å kommunisere verbalt
289159000|Thirst finding (finding)|funn om tørste
1269553009|At increased risk for perinatal disorder (finding)|risiko for perinatal sykdom
704423008|Fear of abandonment (finding)|redd for å bli forlaten
130948000|Renal alteration (finding)|nyreforandring
129711000|At increased risk for relocation stress syndrome (finding)|risiko for stressliding ved omplassering
289116005|Difficulty coughing (finding)|vanskar med å hosta
704406004|Deficient knowledge of symptom (finding)|mangelfull kunnskap om symptom
129834002|Noncompliance with medication regimen (finding)|mangelfull etterlevelse av forskrevet medisin
129829001|Ineffective community therapeutic regimen management (finding)|ineffektiv handtering av behandlingsregime på lokalt nivå
409031004|At increased risk for perioperative injury (finding)|risiko for perioperativ skade
300777006|Does not play (finding)|leikar ikkje
409030003|Ineffective family coping (finding)|ineffektiv familiemeistring
61578001|Abnormal digestive tract function (finding)|unormal fordøyelsesfunksjon
65971000052100|Acute psychosis (disorder)|akutt psykose
733741005|Impaired cardiovascular system function (finding)|nedsett kardiovaskulær funksjon
7058009|Noncompliance with treatment (finding)|manglende etterlevelse av behandling
713452008|Deficient knowledge of fetal development (finding)|mangelfull kunnskap om fosterutvikling
1137438000|Pain due to arthritis (finding)|smerter forårsaket av artritt
704302001|Lack of symptom control (finding)|manglande symptomkontroll
160932005|Financial problem (finding)|økonomisk problem
129832003|Noncompliance with dietary regimen (finding)|etterlever ikkje kosthaldsregime
129872007|Socialization alteration (finding)|endret sosialisering
68978004|Hyperventilation (finding)|hyperventilering
1144748009|Impaired concentration (finding)|nedsett konsentrasjon
32422007|Hemispatial neglect (finding)|neglekt
440301000124106|Below expected growth rate (finding)|under forventet veksthastighet
477521000202103|At increased risk of visual impairment (finding)|risiko for svekket syn
477681000202101|Palliative phase of illness (finding)|palliativ fase
77427003|Activity intolerance (finding)|aktivitetsintoleranse
497611000202103|Deficient knowledge about health (finding)|mangelfull helsekunnskap
300255008|Oral cavity problem (finding)|problem i munnhule
457601000202105|At increased risk of disturbed dying process (finding)|risiko for forstyrra dødsprosess
81935006|Family conflict (finding)|familiekonflikt
578151000202105|Medical equipment problem (finding)|problem med medisinsk utstyr
414285001|Allergy to food (finding)|matallergi
1163215007|Pressure injury (disorder)|trykksår
704304000|Impairment of child development (finding)|nedsatt utvikling hos barn
70944005|Impaired gas exchange (finding)|svekt gassutveksling
249481003|Finding of insufficient fluid intake (finding)|utilstrekkeleg væskeinntak
67750007|Ineffective airway clearance (finding)|nedsatt evne til å holde luftveiene frie
58126003|Postoperative wound infection (disorder)|postoperativ sårinfeksjon
402294001|Chapping of lips (disorder)|tørr og/eller sprokken leppe
23935006|Diversional activity deficit (finding)|mangel på avledende aktiviteter
130971003|Disorganized infant response to environment (finding)|desorganisert atferd hos spedbarn
129691005|At increased risk for constipation (finding)|risiko for obstipasjon
248342006|Underweight (finding)|undervektig
29738008|Proteinuria (finding)|protein i urin
866240007|At increased risk of cerebrovascular accident (finding)|risiko for hjerneslag
228153004|Personal hygiene disability (finding)|utfordring med å utføra personleg hygiene
289084000|Difficulty performing breastfeeding (finding)|vansker med amming
129900004|Cardiac output alteration (finding)|endra minuttvolum
64581007|Postoperative nausea (disorder)|postoperativ kvalme
129835001|Noncompliance with safety precautions (finding)|etterlever ikkje tryggingstiltak
517861000202105|Need for multidisciplinary cooperation (finding)|behov for tverrfagleg samarbeid
567621000202100|Lack of cooperation from family (situation)|manglende samarbeid fra pårørende
105531004|Housing unsatisfactory (finding)|problem med dårlege buforhold
715238005|At increased risk of electrolyte imbalance (finding)|risiko for forstyrring i elektrolyttbalanse
271719001|Raised intracranial pressure (finding)|auka intrakranialt trykk
409033001|Altered growth and development (finding)|endring i vekst og utvikling
95933007|Neglected elder (finding)|utsatt for omsorgssvikt som eldre
102946008|Abnormal sexual behavior (finding)|unormal seksuell åtferd
129833008|Noncompliance with fluid volume regimen (finding)|etterlever ikkje væskeregime
704344007|Conflicting attitude towards care (finding)|motstridande haldning til pleie
82423001|Chronic pain (finding)|langvarige smerter
130988005|Chronic confusion (finding)|kronisk forvirring
130987000|Acute confusion (finding)|akutt forvirring
409054008|Alteration in tissue perfusion (finding)|endring i vevsperfusjon
704295007|At increased risk for depressed mood (finding)|risiko for depressivt stemningsleie
42427004|At increased risk for suffocation (finding)|risiko for kveling
588721000202105|At increased risk for infertility (finding)|risiko for infertilitet
720824009|Victim of child neglect (finding)|utsett for omsorgssvikt som barn
14461000202100|At increased risk for raised intracranial pressure (finding)|risiko for økt intrakranialt trykk
1220761000202103|Uspesifisert forstyrrelse i urinveier eller kjønnsorganer etter kirurgiske eller medisinske prosedyrer [n99.9] (finding)|uspesifisert forstyrrelse i urinveier eller kjønnsorganer etter kirurgiske eller medisinske prosedyrer
704356008|At increased risk of health care associated complication (finding)|risiko for helsetenesteassosiert komplikasjon
271809000|Peripheral edema (disorder)|perifert ødem
699653008|Inadequate oral food intake for physiological needs (finding)|utilstrekkelig peroralt matinntak
33084007|Personal identity confusion (finding)|identitetsforvirring
704366000|Inappropriate self disclosure (finding)|upassende grad av åpenhet om seg selv
366979004|Depressed mood (finding)|depressivt stemningsleie
129868008|Deficient knowledge of therapeutic regimen (finding)|mangelfull kunnskap om behandlingsregime
361055000|Misuses drugs (finding)|misbruker legemiddel eller rusmiddel
13331000202101|Difficulty balancing activity and rest (finding)|problem med aktivitetsbalanse
706912001|Complication of health care (disorder)|komplikasjon til behandling
129713002|At increased risk for powerlessness (finding)|risiko for maktesløshet
387603000|Impairment of balance (finding)|nedsatt balanse
414487007|Ineffective health maintenance (finding)|nedsatt ivaretakelse av egen helse
22761000175104|At increased risk for social isolation (finding)|risiko for sosial isolasjon
706876006|Suspicion (finding)|mistenksomhet
274663001|Acute pain (finding)|akutte smerter
17361000202103|Patient not affected by gurgling breath (finding)|pasienten er ikke plaget av surklete pust
187831000202107|Fear of male sexual dysfunction (finding)|engsteleg for seksuell dysfunksjon hos mann
714658008|At increased risk of radiation exposure (finding)|risiko for strålingseksponering
24436009|Gurgling (finding)|gurglelydar
161838002|Infant feeding problem (finding)|problem med mating av spedbarn
75408008|Feeling angry (finding)|føler seg sint
21522001|Abdominal pain (finding)|abdominalsmerter
289560001|Profuse vaginal discharge (finding)|stor mengd vaginal utflod
62476001|Disorientated (finding)|desorientert
226077000|Therapeutic diet (finding)|terapeutisk diett
386689009|Hypothermia (finding)|hypotermi
704448006|Tendency to wander (finding)|tendens til vandring
418107008|Unconscious (finding)|medvitslaus
299960009|Nervous system problem (finding)|problem med nervesystemet
130969003|Health seeking behavior (finding)|helsesøkende atferd
704659007|Child at increased risk of abuse (finding)|barn i risiko for mishandling
278040002|Loss of hair (finding)|hårtap
704413004|At increased risk of vomiting (finding)|risiko for oppkast
449918009|Cramp in lower leg (finding)|leggkramper
130985008|Disturbed sensory perception (finding)|sensorisk persepsjonsforstyrrelse
1236741000|Parenting stress (finding)|foreldrestress
713459004|Family grieving (situation)|familie i sorg
2073000|Delusion (finding)|vrangforestillinger
457581000202104|Low activity level (finding)|lågt aktivitetsnivå
123640000|Mucous membrane dryness (finding)|slimhinnetørrhet
64379006|Decrease in appetite (finding)|nedsatt matlyst
55406008|Hyperalgesia (finding)|hyperalgesi
129882008|Dysfunctional coping using self defense mechanisms (finding)|forsvarspreget mestring
161047009|Poor adaptation to disability (finding)|dårlig tilpasning til funksjonsnedsettelse
249480002|Increased fluid intake (finding)|auka væskeinntak
1149254008|Temporary disruption in family processes (finding)|midlertidig forstyrret familieprosess
129694002|At increased risk for disuse syndrome (finding)|risiko for inaktivitet
706881002|Barrier to communication (finding)|kommunikasjonshinder
704361005|At increased risk of deficient food intake (finding)|risiko for mangelfullt matinntak
497601000202100|Has child as next of kin (finding)|har barn som pårørande
213151004|Heart transplant failure and rejection (disorder)|svikt i og avstøtning av hjertetransplantat
733826000|Pain due to fracture (finding)|fraktursmerter
128139000|Inflammatory disorder (disorder)|inflammatorisk sykdom
84229001|Fatigue (finding)|fatigue
276306002|Loss of initiative (finding)|tap av initiativ
102912007|Fear of death (finding)|frykt for død
497731000202101|Family in need of support (finding)|behov for varetaking av pårørande
704340003|Conflicting attitude towards treatment (finding)|motstridende holdning til behandling
225012006|Feeling ashamed (finding)|føler skam
704447001|Lack of self awareness (finding)|manglande sjølvinnsikt
430576002|At increased risk for injury due to fall (finding)|risiko for fallskade
129860001|Kinesthetic alteration (finding)|endret dybdesensibilitet
48694002|Anxiety (finding)|angst
213299007|Postoperative pain (finding)|postoperative smerter
313424005|At increased risk of disease (finding)|risiko for sjukdom
102835006|Difficulty passing urine (finding)|problemer med vannlating
16399001|Difficulty coping with pain (finding)|vanskar med å meistra smerte
7653001|Self-feeding deficit (finding)|nedsatt evne til å spise selv
129899009|Blood pressure alteration (finding)|endring i blodtrykk
248062006|Self-injurious behavior (finding)|selvskading
129815002|Delayed growth and development (finding)|forseinka vekst og utvikling
714669006|Impaired attitude to nutritional status (finding)|svekt haldning til ernæringsstatus
289894009|Menstrual bleeding present (finding)|pågående menstruasjon
39093002|Post-trauma response (finding)|posttraumatisk reaksjon
706871001|Poor response to enteral nutrition (situation)|dårlig respons på enteral ernæring
704352005|At increased risk of delayed growth (finding)|risiko for forseinka vekst
1259140002|Blood glucose level unstable (finding)|ustabilt blodsukkernivå
70693003|At increased risk for impaired skin integrity (finding)|risiko for svekt hudintegritet
1156957002|At increased risk of food intake greater than requirement (finding)|risiko for matinntak høgare enn kroppen treng
248004009|Physical aggression (finding)|fysisk voldelig atferd
248549001|Labored breathing (finding)|anstrengt respirasjon
57161000202105|Complex rehabilitation therapy requested (situation)|kompleks rehabilitering
704424002|Fear of being a burden to others (finding)|frykt for å være til bry
713398008|Deficient knowledge of travel health (finding)|mangelfull kunnskap om helse ved reise
162116003|Increased frequency of urination (finding)|hyppig vasslating
1144586002|Increased pain (finding)|auka smerter
704359001|At increased risk of polypharmacy (finding)|risiko for polyfarmasi
271801002|Taste sense altered (finding)|endret smakssans
301364008|Pain of skin (finding)|hudsmerter
1149253002|Breastfeeding temporarily discontinued (finding)|mellombels slutta å dia
714662002|At increased risk of impaired fetal development (finding)|risiko for nedsatt fosterutvikling
67175002|Impaired home maintenance management (finding)|nedsett varetaking av husarbeid
704415006|At increased risk of impaired school performance (finding)|risiko for nedsatt skoleprestasjon
568071000202108|At increased risk of neurological deficit (finding)|risiko for nevrologisk utfallssymptom
706893006|Victim of intimate partner abuse (finding)|utsett for partnarvald
300723007|Difficulty performing shopping activities (finding)|vansker med å utføre innkjøp
1286875007|At increased risk for unplanned pregnancy (finding)|risiko for ikke-planlagt svangerskap
66383009|Gingivitis (disorder)|gingivitt
14621004|Anticipatory grief (finding)|ventesorg
704372000|Lack of trust in healthcare provider (finding)|manglende tillit til helsepersonell
704294006|At increased risk for depressed mood during postpartum period (finding)|risiko for depressivt stemningsleie i postpartumperioden
129904008|Impaired dentition (finding)|nedsett tannstatus
129862009|Deficient knowledge of diagnostic testing (finding)|mangelfull kunnskap om diagnostisk test
79890006|Loss of appetite (finding)|tap av matlyst
432843002|Acute rejection of cardiac transplant (disorder)|akutt avstøyting av hjartetransplantat
444673007|Hyperemesis (disorder)|hyperemesis
386033004|Neuropathy (disorder)|nevropati
704660002|Impairment of older adult development (finding)|nedsatt utvikling hos eldre voksen
7919002|Impaired skin integrity (finding)|svekt hudintegritet
56925008|Abnormal sexual function (finding)|unormal seksualfunksjon
229665008|Expressive dysphasia (finding)|ekspressiv afasi
3424008|Tachycardia (finding)|takykardi
56890008|Victim of sexual aggression (finding)|utsatt for seksuell vold
704368004|At increased risk of elopement from healthcare setting (finding)|risiko for rømming frå helseteneste
26628009|Disturbance in thinking (finding)|tankeforstyrring
284799008|Unable to perform bathing activity (finding)|ikke i stand til å utføre kroppsvask
705086000|Deficient knowledge of patient controlled analgesia (finding)|mangelfull kunnskap om pasientstyrt analgesi
91175000|Seizure (finding)|anfall
704297004|At increased risk of impaired nervous system function (finding)|risiko for nedsatt funksjon i nervesystemet
445261000124106|Nutrition impaired (finding)|ernæringssvikt
130983001|At increased risk for autonomic dysreflexia (finding)|risiko for autonom dysrefleksi
704658004|Child at increased risk of neglect (finding)|barn i risiko for omsorgssvikt
46742003|Skin ulcer (disorder)|hudsår
713447003|Deficient knowledge of parenting (finding)|mangelfull kunnskap om foreldreskap
1144747004|Impaired impulse control (finding)|nedsatt impulskontroll
704369007|Fatigue due to treatment (finding)|fatigue forårsaket av behandling
1296884009|At increased risk of exposure to communicable disease (finding)|risiko for eksponering for smittsam sjukdom
131148009|Bleeding (finding)|blødning
301336003|Body weight problem (finding)|problem med kroppsvekt
271737000|Anemia (disorder)|anemi
130970002|Health seeking behavior alteration (finding)|endring i helsesøkende atferd
129885005|Ineffective community coping (finding)|ineffektiv meistring i lokalsamfunnet
422930008|Spiritual beliefs conflicting with healthcare plan (finding)|konflikt mellom åndelig tro og pleieplan
129867003|Deficient knowledge of safety precautions (finding)|mangelfull kunnskap om sikkerhetstiltak
14721000202104|Family situation changed (finding)|endra familiesituasjon
424466003|Water supply insufficient (finding)|utilstrekkeleg vassforsyning
129708001|At increased risk for self-mutilation (finding)|risiko for sjølvmutilering
13954005|Ischemic ulcer (disorder)|arterielt sår
713448008|Deficient knowledge of infant feeding (finding)|mangelfull kunnskap om mating av spedbarn
33300005|Feeling powerless (finding)|føler seg maktesløs
704305004|Impairment of caregiver child attachment (finding)|svekket tilknytning mellom omsorgsperson og barn
704301008|Cultural belief conflict (finding)|konflikt knyttet til kulturelle oppfatninger
183644000|Surgical follow-up (finding)|kirurgisk oppfølging
58219009|Lactation problem (finding)|problem med laktasjon
27179007|Disturbance in role performance (finding)|vanskar med rolleutøving
284489004|Avoidance behavior (finding)|unngåelsesatferd
416462003|Wound (disorder)|sår
704429007|Abnormal acid-base balance (finding)|unormal syre-base-balanse
705039004|Conflicting attitude of caregiver (finding)|motstridande haldning hos omsorgsgjevar
714661009|At increased risk of impaired gastrointestinal system function (finding)|risiko for svekket gastrointestinal funksjon
38671000119103|Abnormal urination (finding)|unormal vannlating
714665000|At increased risk of adverse drug interaction (finding)|risiko for uønskt lækjemiddelinteraksjon
1144780006|At increased risk of embolism (finding)|risiko for emboli
704661003|Noncompliance with immunization regimen (finding)|etterlever ikkje vaksinasjonsprogram
129831005|Noncompliance with diagnostic testing (finding)|etterlever ikke diagnostisk testing
87557004|Urge incontinence of urine (finding)|urgeinkontinens
53339009|Dysfunctional grieving (finding)|dysfunksjonell sorg
337611000202102|At risk of cerebrospinal fluid leak (finding)|risiko for lekkasje av cerebrospinalvæske
704373005|Lack of trust (finding)|manglande tillit
110483000|Tobacco user (finding)|bruker tobakk
129692003|At increased risk for urge incontinence (finding)|risiko for urgeinkontinens
427551000202106|Changed sexual function (finding)|endra seksualfunksjon
704422003|At increased risk of apnea (finding)|risiko for apné
129693008|At increased risk for imbalanced fluid volume (finding)|risiko for væskeubalanse
8317005|At increased risk for deficient parenting (finding)|risiko for utilstrekkelig foreldreskap
64313000|Alteration in family processes (finding)|endring i familieforhold
129849005|At increased risk for excess fluid volume (finding)|risiko for overskot av væskevolum
422838000|Moral distress (finding)|moralsk krise
365112008|Finding of walking aid use (finding)|funn om bruk av ganghjelpemiddel
422183001|Skin ulcer due to diabetes mellitus (disorder)|diabetisk hudsår
248577005|Rattling breathing (finding)|surklende respirasjon
169746009|Breastfeeding stopped (finding)|slutta å dia
704377006|Deficient knowledge of peritoneal dialysis (finding)|mangelfull kunnskap om peritonealdialyse
286457005|Difficulty preparing food for eating (finding)|vansker med å tilberede måltid
398254007|Pre-eclampsia (disorder)|preeklampsi
15167005|Harmful pattern of use of alcohol (disorder)|skadelig bruksmønster for alkohol
704426000|Impairment of mental alertness (finding)|svekket mental årvåkenhet
706877002|Problem with high complexity of treatment regime (finding)|vanskar med høg kompleksitet i behandlingsregimet
80394007|Hyperglycemia (disorder)|hyperglykemi
422923002|Inadequate community resources (finding)|utilstrekkelige fasiliteter i nærområdet
29857009|Chest pain (finding)|brystsmerter
309615009|Bowel problem (finding)|tarmproblem
704360006|At increased risk for infection of eye (finding)|risiko for øyeinfeksjon
129837009|Ineffective protection (finding)|ineffektiv beskyttelse
386806002|Impaired cognition (finding)|kognitiv svikt
706873003|Suffering (finding)|lidelse
706874009|At increased risk of elder neglect (finding)|eldre i risiko for omsorgssvikt
74530003|Uncompensated sensory deficit (finding)|ikkje-kompensert sensorisk utfall
213152006|Heart-lung transplant failure and rejection (disorder)|svikt i og avstøtning av transplantert hjerte og lunge
24441001|Health maintenance alteration (finding)|endret ivaretakelse av egen helse
423192007|At increased risk for acute confusion (finding)|risiko for akutt forvirring
704404001|Deficient knowledge of pain management (finding)|mangelfull kunnskap om smertebehandling
705047004|Fear of contagion (finding)|frykt for smitte
713451001|Deficient knowledge of labor and delivery (finding)|mangelfull kunnskap om fødsel
22253000|Pain (finding)|smerter
704306003|At increased risk of bradycardia (finding)|risiko for bradykardi
347341000202106|At increased risk of cramp (finding)|risiko for krampe
735250009|Lack of opportunity for privacy (finding)|manglende mulighet for privatliv
423245001|At increased risk for compromised human dignity (finding)|risiko for krenkt verdigheit
1149251000|Impaired peripheral neurovascular function (finding)|nedsett perifer nevrovaskulær funksjon
129846003|Polypharmacy (finding)|polyfarmasi
70153002|Hemorrhoids (disorder)|hemoroidar
704680001|Deficient knowledge of behavior change process (finding)|mangelfull kunnskap om atferdsendring
129897006|Dysfunctional ventilatory weaning response (finding)|problem med respiratoravvenning
310389000|Next of kin information status (finding)|pårørendes informasjonsstatus
413307004|Mental health problem (finding)|problem med mental helse
1179627006|Neonatal respiratory distress (finding)|respirasjonsbesvær hos nyfødt
289128002|Difficulty performing mouthcare activities (finding)|vanskar med å utføra munnhygiene
704364002|At increased risk of ineffective tissue perfusion (finding)|risiko for ineffektiv vevsperfusjon
405273008|Manic mood (finding)|manisk stemningsleie
129710004|At increased risk for post-trauma syndrome (finding)|risiko for posttraumatisk reaksjon
430794006|At increased risk for delirium (finding)|risiko for delirium
704420006|At increased risk of dehydration (finding)|risiko for dehydrering
129859006|Impaired bed mobility (finding)|nedsatt mobilitet i seng
419076005|Allergic reaction (disorder)|allergisk reaksjon
278951000202101|Adequate reproductive system function (finding)|tilfredsstillande funksjon i reproduksjonssystem
129706002|At increased risk for disorganized infant behavior (finding)|risiko for desorganisert spedbarnsåtferd
706869001|Deficient knowledge of medication (finding)|mangelfull kunnskap om legemiddel
713142003|At increased risk from passive smoking (finding)|risiko for passiv røyking
17971005|Sedated (finding)|sedert
714667008|Fear about medication side effects (finding)|frykt for legemiddelbivirkninger
713458007|Lack of access to transportation (finding)|manglande tilgang på transport
300686005|Difficulty managing personal financial activities (finding)|vanskar med å handtera eigen økonomi
26110006|Spiritual distress (finding)|eksistensiell krise
129847007|Functional urinary incontinence (finding)|funksjonell urininkontinens
278021000202107|Impaired neurological status (finding)|svekt nevrologisk status
129588001|Adult failure to thrive syndrome (disorder)|failure to thrive hos voksen
45346005|Alteration in nutrition: more than body requirements (finding)|høyere næringsinntak enn kroppen behøver
704400005|Deficient knowledge of community services (finding)|mangelfull kunnskap om lokalt tenestetilbod
18963009|Mood swings (finding)|labilt stemningsleie
419567006|Delirious (finding)|delirisk
26677001|Sleep pattern disturbance (finding)|forstyrra søvnmønster
1223891000202107|Contact with and exposure to other communicable diseases (situation)|kontakt med eller eksponering for annan smittsam sjukdom
129888007|Spiritual state alteration (finding)|endra åndeleg tilstand
286650004|Lacking belief in own ability (finding)|manglende tro på egne evner
81548002|Elevated mood (finding)|forhøyet stemningsleie
406555004|Low risk of harm to others (finding)|lav risiko for å skade andre
75803007|Posterior rhinorrhea (disorder)|bakre rhinoré
129869000|Death anxiety (finding)|dødsangst
704682009|At increased risk of transfer injury (finding)|risiko for forflyttingsskade
417284009|Current drug user (finding)|nåværende rusmiddelbruk
85623003|Ineffective thermoregulation (finding)|ineffektiv temperaturregulering
190902006|Fluid imbalance (disorder)|væskeubalanse
720822008|Withdrawal symptom (finding)|abstinenssymptom
298222004|Active range of joint movement reduced (finding)|redusert aktivt bevegelsesutslag
65108000|At increased risk for violence (finding)|risiko for vald
198609003|Complication of pregnancy, childbirth and/or puerperium (disorder)|komplikasjon ved svangerskap, fødsel og/eller barseltid
129871000|Situational low self-esteem (finding)|situasjonsbunden låg sjølvkjensle
266154004|Candidiasis of mouth and esophagus (disorder)|candidiasis i munn og øsofagus
16331000|Heartburn (finding)|halsbrann
286933003|Confusional state (disorder)|forvirringstilstand
307077003|Feeling hopeless (finding)|vonløyse
87486003|Aphasia (finding)|afasi
31491000119109|Disruptions of 24 hour sleep-wake cycle (disorder)|forstyrret døgnrytme
1402001|Fear (finding)|frykt
423875000|Deficient knowledge of family planning methods (finding)|mangelfull kunnskap om familieplanleggingsmetodar
1156331007|Excessive euphoria (finding)|overdriven eufori
704419000|At increased risk of diarrhea (finding)|risiko for diaré
52475004|Xeroderma (disorder)|xeroderma
704296008|At increased risk of impaired respiratory system function (finding)|risiko for nedsett funksjon i respirasjonssystem
129866007|Deficient knowledge of medication regimen (finding)|mangelfull kunnskap om lækjemiddelregime
1.23E+15|Need for continuous supervision (situation)|behov for kontinuerlig tilsyn
12479006|Compulsive behavior (finding)|tvangsprega åtferd
13791008|Asthenia (finding)|asteni
28442001|Polyuria (finding)|polyuri
392562007|At increased risk for sudden infant death syndrome (finding)|risiko for krybbedød
258149004|Swallowing finding (finding)|funn om svelging
1269476005|At increased risk for complication during labor and delivery (finding)|risiko for komplikasjon under fødselsarbeid og forløsning
14760008|Constipation (finding)|obstipasjon
48851009|Impaired tissue integrity (finding)|svekket vevskvalitet
704355007|At increased risk of impaired caregiver child attachment (finding)|risiko for svekt tilknyting mellom omsorgsgjevar og barn
497701000202109|Planned home death (finding)|planlagd heimedød
225507001|Altered body image (finding)|endret kroppsbilde
418363000|Itching of skin (finding)|hudkløe
443371007|Decreased level of consciousness (finding)|nedsatt bevissthetsnivå
1145523004|Wound due to malignant neoplastic disease (disorder)|malignt sår
371597004|Emaciated (finding)|avmagra
129845004|At increased risk for imbalanced nutrition, less than body requirements (finding)|risiko for lavt næringsinntak
249366005|Bleeding from nose (finding)|nasebløding
68345001|Apraxia (finding)|apraksi
160507001|Abandoned child (finding)|forlate barn
704365001|At increased risk of dissatisfaction with healthcare (finding)|risiko for misnøye med helsehjelp
20573003|Ineffective breathing pattern (finding)|ineffektivt respirasjonsmønster
285304000|At risk of pressure injury (finding)|risiko for trykksår
271825005|Respiratory distress (finding)|respiratorisk stress
129898001|Cardiovascular system alteration (finding)|endring i kardiovaskulært system
588781000202106|Increased risk of ineffective implementation of care (finding)|risiko for ineffektiv gjennomføring av behandling
704403007|Deficient knowledge of fall prevention (finding)|mangelfull kunnskap om fallforebygging
225465005|Unwilling (finding)|uvillig
129688005|Disturbed energy field (finding)|forstyrret energifelt
704418008|At increased risk of infection of oral mucous membrane (finding)|risiko for infeksjon i munnslimhinne
278919001|Communication disorder (disorder)|kommunikasjonsforstyrring
286647002|Low self-esteem (finding)|lav selvfølelse
714663007|At increased risk of impaired ability to perform caretaking (finding)|risiko for nedsatt evne til omsorgsutøvelse
704309005|Difficulty managing nephrostomy care (finding)|vansker med å håndtere nefrostomistell
1217332007|Persistent sadness (finding)|vedvarende tristhet
705019003|Difficulty managing stoma care (finding)|vansker med å håndtere stomistell
40733004|Infectious disease (disorder)|infeksjonssykdom
129839007|At increased risk for falls (finding)|risiko for fall
225956009|At increased risk of urinary tract infection (finding)|risiko for urinveisinfeksjon
422587007|Nausea (finding)|kvalme
1269478006|At increased risk for male infertility (finding)|risiko for mannleg infertilitet
40095003|Injury of kidney (disorder)|nyreskade
56018004|Wheezing (finding)|pipande respirasjon
41236000|Abnormal vital signs (finding)|unormale vitale teikn
704427009|Impairment of adult development (finding)|nedsatt utvikling hos voksen
264552009|Neurological deficit (finding)|nevrologisk utfallssymptom
1306692000|Harmful pattern of substance use (disorder)|skadelig bruksmønster for substans
497531000202107|Maternal breastfeeding interrupted (finding)|avbroten amming
704383009|Deficient knowledge of child development (finding)|mangelfull kunnskap om barns utvikling
424100000|Limited ability to think abstractly (finding)|begrenset evne til abstrakt tenkning
1254812006|Substance dependence (disorder)|substansavhengighet
373191003|Self-toileting deficit (finding)|nedsett evne til å utføra toalettbesøk
19585003|Postoperative state (finding)|postoperativ tilstand
409055009|Ineffective tissue perfusion (finding)|ineffektiv vevsperfusjon
